id,company,salesperson,region,url,version,ecommerce,title,performance,accessibility,best-practices,seo
1,Progress Software,John Doe,North America,https://www.progress.com,Sitefinity 13.3.7600.0 PU,sitefinity ecommerce installed,"Develop, Deploy & Manage High-Impact Business Apps | Progress SoftwareProgressSearchLoginMake a callSearchProgressFacebookTwitterYoutubeInstagramLinkedin",61,93,93,75
2,World Health Organization,Jane Doe,EMEA,https://www.who.int,Sitefinity 14.0.7729.0 DX,sitefinity ecommerce not found,World Health Organization (WHO),20,95,73,92
